release_year,genre,region,sales
2013,Fighting,European Union,1.86
2013,Misc,European Union,7.18
2013,Platform,European Union,8.78
2013,Puzzle,European Union,0.48
2013,Racing,European Union,6.06
2013,Role-Playing,European Union,8.8
2013,Shooter,European Union,22.34
2013,Simulation,European Union,3.6199999999999997
2013,Sports,European Union,14.790000000000001
2013,Strategy,European Union,2.43
2014,Action,European Union,39.86
2014,Adventure,European Union,1.82
2014,Fighting,European Union,2.97
2014,Misc,European Union,8.6
2014,Platform,European Union,3.6
2014,Puzzle,European Union,0.39
2014,Racing,European Union,7.61
2014,Role-Playing,European Union,10.96
2014,Shooter,European Union,25.24
2014,Simulation,European Union,3.56
2014,Sports,European Union,17.91
2014,Strategy,European Union,0.22
2015,Action,European Union,24.14
2015,Adventure,European Union,3.35
2015,Fighting,European Union,2.38
2015,Misc,European Union,3.6
2015,Platform,European Union,1.81
2015,Puzzle,European Union,0.12000000000000001
2015,Racing,European Union,4.75
2015,Role-Playing,European Union,12.93
2015,Shooter,European Union,24.38
2015,Simulation,European Union,2.47
2015,Sports,European Union,15.81
2015,Strategy,European Union,0.98
2016,Action,European Union,10.68
2016,Adventure,European Union,1.32
2016,Fighting,European Union,1.34
2016,Misc,European Union,0.66
2016,Platform,European Union,1.3900000000000001
2016,Puzzle,European Union,0.01
2016,Racing,European Union,1.77
2016,Role-Playing,European Union,4.28
2016,Shooter,European Union,15.9
2016,Simulation,European Union,1.27
2016,Sports,European Union,12.01
2016,Strategy,European Union,0.59
2017,Action,European Union,0.0
2017,Role-Playing,European Union,0.0
2020,Simulation,European Union,0.0
1980,Action,Japan,0.0
1980,Fighting,Japan,0.0
1980,Misc,Japan,0.0
1980,Shooter,Japan,0.0
1980,Sports,Japan,0.0
1981,Action,Japan,0.0
1981,Platform,Japan,0.0
1981,Puzzle,Japan,0.0
1981,Racing,Japan,0.0
1981,Shooter,Japan,0.0
1981,Simulation,Japan,0.0
1981,Sports,Japan,0.0
1982,Action,Japan,0.0
1982,Misc,Japan,0.0
1982,Platform,Japan,0.0
1982,Puzzle,Japan,0.0
1982,Racing,Japan,0.0
1982,Shooter,Japan,0.0
1982,Sports,Japan,0.0
1983,Action,Japan,0.0
1983,Adventure,Japan,0.0
1983,Misc,Japan,2.13
1983,Platform,Japan,3.6199999999999997
1983,Puzzle,Japan,0.0
1983,Shooter,Japan,0.0
1983,Sports,Japan,2.35
1984,Action,Japan,0.83
1984,Misc,Japan,1.45
1984,Platform,Japan,0.69
1984,Puzzle,Japan,2.2300000000000004
1984,Racing,Japan,3.09
1984,Shooter,Japan,1.96
1984,Sports,Japan,4.02
1985,Action,Japan,1.44
1985,Fighting,Japan,1.05
1985,Platform,Japan,8.67
1985,Puzzle,Japan,1.66
1985,Shooter,Japan,0.21
1985,Simulation,Japan,0.0
1985,Sports,Japan,1.53
1986,Action,Japan,5.31
1986,Platform,Japan,8.11
1986,Racing,Japan,0.41
1986,Role-Playing,Japan,0.52
1986,Shooter,Japan,2.77
1986,Sports,Japan,2.69
1987,Action,Japan,0.0
1987,Adventure,Japan,1.61
1987,Fighting,Japan,1.8699999999999999
1987,Platform,Japan,0.69
1987,Role-Playing,Japan,4.18
1987,Shooter,Japan,0.0
1987,Sports,Japan,3.2800000000000002
1988,Action,Japan,0.42
1988,Platform,Japan,5.7
1988,Puzzle,Japan,1.81
1988,Racing,Japan,0.19
1988,Role-Playing,Japan,5.78
1988,Shooter,Japan,0.0
1988,Simulation,Japan,0.0
